Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
§ 268                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/1                                 ,   41,   10,   24,   119,   1,   1,   ,   ,   ,   ,   ,   ,   ,   15,   1,   ,   ,   ,   ,   ,   ,   ,
§ 270/2                                 ,  1 113,   30,   3,   48,   6,   ,   ,   1,   ,   ,   3,   ,   ,   33,   ,   ,   1,   ,   ,   3,   ,   ,
§ 271/1                                 ,   4,   4,   100,   ,   ,   ,   1,   ,   ,   ,   1,   ,   ,   6,   ,   1,   ,   ,   ,   3,   ,   ,
§ 271/2                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 273                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 274                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 276                                   ,   426,   207,   49,  72 920,   102,   ,   ,   ,   ,   ,   2,   ,   ,   477,   ,   ,   ,   ,   ,   1,   ,   ,
§ 277                                   ,  2 360,  1 985,   84,  10 003,   172,   3,   ,   ,   ,   ,   1,   ,   ,  2 395,   3,   ,   ,   ,   ,   1,   ,   ,
§ 277a                                  ,   61,   15,   25,  5 492,   24,   ,   ,   ,   ,   ,   ,   ,   ,   48,   ,   ,   ,   ,   ,   ,   ,   ,
§ 278                                   ,  2 393,  1 521,   64,  18 112,   292,   3,   ,   ,   ,   ,   ,   ,   ,  1 094,   1,   ,   ,   ,   ,   ,   ,   ,
§ 278a                                  ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 279                                   ,   146,   122,   84,  15 817,   7,   ,   ,   ,   ,   ,   1,   ,   ,   157,   ,   ,   ,   ,   ,   1,   ,   ,
§ 281/1                                 ,   10,   5,   50,   237,   3,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 281/2                                 ,   2,   ,   ,   424,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 282                                   ,   2,   ,   ,   8,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 283                                   ,   46,   10,   22,   181,   6,   ,   ,   ,   ,   ,   ,   ,   ,   16,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VI. HLAVA Tr. zákona                    ,  6 069,  5 200,   86,  22 955,   179,  4 621,   58,   42,   ,   ,   70,   37,   1,  5 372,  4 541,   50,   44,   ,   ,   77,   35,   1,
§ 284                                   ,   24,   9,   38,   222,   5,   5,   ,   ,   ,   ,   1,   1,   ,   15,   4,   ,   ,   ,   ,   1,   1,   ,
§ 285                                   ,   86,   29,   34,  13 652,   14,   5,   ,   1,   ,   ,   1,   ,   ,   48,   6,   ,   1,   ,   ,   1,   ,   ,
§ 286                                   ,   92,   25,   27,   98,   1,   6,   ,   1,   ,   ,   10,   1,   ,   36,   7,   ,   1,   ,   ,   11,   1,   ,
§ 288                                   ,   105,   53,   50,   168,   5,   5,   1,   ,   ,   ,   1,   ,   ,   58,   2,   ,   ,   ,   ,   2,   ,   ,
§ 289/1                                 ,  4 057,  3 998,   99,   483,   39,  4 011,   23,   ,   ,   ,   35,   34,   1,  3 978,  3 959,   17,   ,   ,   ,   33,   32,   1,
§ 289/2                                 ,   355,   353,   99,   17,   4,   323,   33,   ,   ,   ,   1,   1,   ,   343,   309,   33,   ,   ,   ,   1,   1,   ,
§ 289/3A                                ,   55,   55,   100,   7,   3,   58,   ,   ,   ,   ,   ,   ,   ,   52,   52,   ,   ,   ,   ,   ,   ,   ,
§ 289/3B                                ,   32,   31,   97,   ,   ,   31,   ,   ,   ,   ,   ,   ,   ,   30,   30,   ,   ,   ,   ,   ,   ,   ,
§ 289/3C                                ,   130,   119,   92,   286,   9,   127,   ,   ,   ,   ,   ,   ,   ,   120,   119,   ,   ,   ,   ,   ,   ,   ,
§ 289/4                                 ,   38,   38,   100,   24,   1,   39,   ,   ,   ,   ,   ,   ,   ,   39,   39,   ,   ,   ,   ,   ,   ,   ,
§ 294/1                                 ,   189,   109,   58,   2,   35,   2,   1,   ,   ,   ,   3,   ,   ,   119,   1,   ,   ,   ,   ,   2,   ,   ,
§ 294/2                                 ,   116,   57,   49,   ,   18,   1,   ,   ,   ,   ,   ,   ,   ,   62,   ,   ,   ,   ,   ,   ,   ,   ,
§ 295/1                                 ,   22,   13,   59,   ,   8,   ,   ,   1,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
§ 295/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 296                                   ,   9,   5,   56,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   27,   ,   ,   ,   ,   ,   2,   ,   ,
§ 298                                   ,   22,   4,   18,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 299A                                  ,   5,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 300                                   ,   17,   1,   6,   133,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 301                                   ,   6,   1,   17,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 302                                   ,   216,   24,   11,   936,   13,   ,   ,   ,   ,   ,   1,   ,   ,   85,   ,   ,   ,   ,   ,   2,   ,   ,
§ 303                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 304                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/1                                 ,   27,   4,   15,  1 426,   2,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/2                                 ,   49,   38,   78,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   37,   ,   ,   ,   ,   ,   ,   ,   ,
§ 306                                   ,   99,   20,   20,  2 864,   15,   ,   ,   ,   ,   ,   1,   ,   ,   45,   ,   ,   ,   ,   ,   1,   ,   ,
§ 310                                   ,   310,   213,   69,   136,   2,   7,   ,   39,   ,   ,   15,   ,   ,   245,   13,   ,   42,   ,   ,   21,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VII. HLAVA Tr. zákona                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 319/1                                 ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VIII. HLAVA Tr. zákona                  ,  2 846,  2 424,   85,  1 328,   97,   401,   7,   ,   ,   ,   36,   5,   ,  2 370,   244,   5,   ,   ,   ,   32,   3,   ,
§ 321                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 322                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 323                                   ,   181,   166,   92,   5,   7,   90,   ,   ,   ,   ,   4,   3,   ,   177,   89,   ,   ,   ,   ,   4,   3,   ,
§ 324                                   ,   28,   26,   93,   ,   4,   13,   1,   ,   ,   ,   ,   ,   ,   25,   10,   1,   ,   ,   ,   ,   ,   ,
§ 326                                   ,   126,   29,   23,   910,   18,   ,   ,   ,   ,   ,   ,   ,   ,   52,   ,   ,   ,   ,   ,   ,   ,   ,
§ 327                                   ,   10,   2,   20,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 328                                   ,   7,   6,   86,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   9,   ,   ,   ,   ,   ,   ,   ,   ,
§ 329                                   ,   44,   18,   41,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,   49,   ,   ,   ,   ,   ,   ,   ,   ,
§ 332                                   ,   16,   10,   63,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   19,   ,   ,   ,   ,   ,   ,   ,   ,
§ 333                                   ,   51,   25,   49,   ,   4,   1,   ,   ,   ,   ,   ,   ,   ,   37,   1,   ,   ,   ,   ,   ,   ,   ,
§ 336/1                                 ,   10,   7,   70,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336/2                                 ,   2,   2,   100,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336A/1                                ,   8,   4,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336A/2                                ,   4,   2,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336B/1                                ,   4,   2,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336B/2                                ,   5,   3,   60,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   16,   ,   ,   ,   ,   ,   ,   ,   ,
§ 337                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 339/1                                 ,   5,   5,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   5,   1,   ,   ,   ,   ,   ,   ,   ,
§ 340                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 341                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 343                                   ,   3,   3,   100,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 344                                   ,   73,   27,   37,   268,   6,   ,   ,   ,   ,   ,   2,   ,   ,   32,   ,   ,   ,   ,   ,   2,   ,   ,
§ 345                                   ,   65,   54,   83,   ,   4,   ,   ,   ,   ,   ,   4,   ,   ,   61,   ,   ,   ,   ,   ,   4,   ,   ,
§ 346/1                                 ,   84,   72,   86,   ,   4,   1,   ,   ,   ,   ,   2,   ,   ,   75,   1,   ,   ,   ,   ,   1,   ,   ,
§ 346/2                                 ,   4,   4,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 347                                   ,   9,   ,   ,   133,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 348/1                                 ,  1 812,  1 777,   98,   6,   9,   292,   5,   ,   ,   ,   24,   2,   ,  1 533,   139,   3,   ,   ,   ,   21,   ,   ,
§ 348/2                                 ,   5,   5,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 349                                   ,   13,   8,   62,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,   10,   1,   ,   ,   ,   ,   ,   ,   ,
§ 351/1                                 ,   5,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 351/2                                 ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 352/1                                 ,   195,   124,   64,   4,   14,   2,   ,   ,   ,   ,   ,   ,   ,   120,   2,   ,   ,   ,   ,   ,   ,   ,
§ 352/2                                 ,   7,   4,   57,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 353/1                                 ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/1                                 ,   7,   2,   29,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/2                                 ,   18,   14,   78,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   26,   ,   1,   ,   ,   ,   ,   ,   ,
§ 356                                   ,   31,   20,   65,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,   52,   ,   ,   ,   ,   ,   ,   ,   ,
§ 357                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 358                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IX. HLAVA Tr. zákona                    ,  3 886,  2 968,   76,   186,   151,  1 289,   9,   58,   3,   ,   167,   24,   ,  3 102,  1 280,   8,   63,   3,   ,   179,   24,   ,
§ 359                                   ,   26,   24,   92,   ,   1,   11,   ,   ,   ,   ,   1,   ,   ,   29,   10,   ,   ,   ,   ,   1,   ,   ,
§ 360                                   ,  1 878,  1 716,   91,   17,   27,   923,   9,   11,   3,   ,   25,   6,   ,  1 654,   882,   8,   11,   3,   ,   21,   5,   ,
§ 360A                                  ,   165,   124,   75,   ,   13,   7,   ,   1,   ,   ,   1,   ,   ,   122,   6,   ,   1,   ,   ,   1,   ,   ,
§ 361/1                                 ,   49,   23,   47,   ,   2,   6,   ,   1,   ,   ,   3,   ,   ,   23,   6,   ,   1,   ,   ,   3,   ,   ,
§ 361/2                                 ,   24,   11,   46,   ,   2,   2,   ,   1,   ,   ,   ,   ,   ,   11,   2,   ,   1,   ,   ,   ,   ,   ,
§ 363                                   ,   3,   3,   100,   ,   ,   3,   ,   ,   ,   ,   1,   1,   ,   3,   3,   ,   ,   ,   ,   1,   1,   ,
§ 364                                   ,  1 030,   825,   80,   6,   63,   329,   ,   26,   ,   ,   100,   17,   ,  1 066,   365,   ,   31,   ,   ,   118,   18,   ,
§ 365                                   ,   44,   17,   39,   19,   ,   3,   ,   4,   ,   ,   4,   ,   ,   19,   3,   ,   4,   ,   ,   4,   ,   ,
§ 366                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,
§ 367                                   ,   9,   5,   56,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   9,   ,   ,   ,   ,   ,   1,   ,   ,
§ 368                                   ,   36,   25,   69,   ,   3,   ,   ,   1,   ,   ,   6,   ,   ,   15,   ,   ,   1,   ,   ,   5,   ,   ,
§ 369                                   ,   234,   76,   32,   ,   26,   ,   ,   10,   ,   ,   17,   ,   ,   74,   ,   ,   10,   ,   ,   16,   ,   ,
§ 370                                   ,   54,   38,   70,   ,   3,   1,   ,   ,   ,   ,   1,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 371                                   ,   5,   4,   80,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 372                                   ,   12,   9,   75,   ,   ,   ,   ,   2,   ,   ,   1,   ,   ,   7,   ,   ,   2,   ,   ,   1,   ,   ,
§ 373                                   ,   129,   13,   10,   ,   2,   ,   ,   ,   ,   ,   3,   ,   ,   16,   ,   ,   ,   ,   ,   4,   ,   ,
§ 374                                   ,   24,   8,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 375                                   ,   118,   31,   26,   130,   5,   ,   ,   ,   ,   ,   1,   ,   ,   21,   ,   ,   ,   ,   ,   1,   ,   ,
§ 376                                   ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 377                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 378                                   ,   40,   14,   35,   11,   2,   4,   ,   1,   ,   ,   1,   ,   ,   16,   3,   ,   1,   ,   ,   1,   ,   ,
§ 378A                                  ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XI. HLAVA Tr. zákona                    ,   9,   6,   67,   2,   2,   3,   ,   ,   ,   ,   ,   ,   ,   8,   3,   ,   ,   ,   ,   ,   ,   ,
§ 393                                   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 401                                   ,   2,   2,   100,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   2,   2,   ,   ,   ,   ,   ,   ,   ,
§ 402                                   ,   4,   3,   75,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 408/1                                 ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 411/1                                 ,   2,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XII. HLAVA Tr. zákona                   ,   155,   76,   49,   3,   25,   14,   ,   ,   ,   ,   2,   ,   ,   77,   16,   ,   ,   ,   ,   2,   ,   ,
§ 421                                   ,   4,   4,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   15,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422/1                                 ,   84,   47,   56,   3,   10,   14,   ,   ,   ,   ,   1,   ,   ,   35,   16,   ,   ,   ,   ,   1,   ,   ,
§ 422A                                  ,   4,   1,   25,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422B                                  ,   25,   6,   24,   ,   11,   ,   ,   ,   ,   ,   1,   ,   ,   17,   ,   ,   ,   ,   ,   1,   ,   ,
§ 422C                                  ,   16,   8,   50,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422D                                  ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 423/1A                                ,   5,   3,   60,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 423/1B                                ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 424/1                                 ,   7,   1,   14,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
Tr.zákon è.140/1961 Zb.                 ,   23,   8,   35,   822,   15,   ,   1,   ,   ,   ,   ,   ,   ,   36,   ,   1,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
CELKOVÁ  KRIMINALITA                    ,  61 392,  37 201,   61,  385 266,  3 728,  8 172,   159,   694,   3,   ,  2 349,   154,   5,  41 546,  7 918,   151,   875,   3,   ,  2 369,   148,   5,
,,,,,,,,,,,,,,,,,,,,,,,
